video,cosine_COM_SEM,cosine_COM_VIDEO,cosine_SEM_VIDEO
07-01-01,0.768695,0.688249,0.593828
07-01-02,0.633062,0.598702,0.658446
07-01-03,0.506286,0.387262,0.345024
07-01-04,0.787844,0.216621,0.495683
07-02-01,0.405081,0.607028,0.387592
07-02-02,0.804749,0.575103,0.610091
07-02-03,0.512892,0.792315,0.505557
07-03-01,0.848466,0.606696,0.700321
07-04-01,0.770663,0.575174,0.564146
07-04-02,1,0.335562,0.335562
07-05-01,0.756612,-1,-1
07-05-02,0.720009,0.556099,0.660986
07-06-01,0.665912,0.339518,0.512578
07-07-01,1,0.250515,0.250515
07-08-01,0.808321,0.415423,0.50546
07-08-02,0.83104,0.65531,0.58846
07-09-01,0.360344,0.458632,0.267072
07-09-02,0.61465,0.62625,0.46991
07-10-01,0.861292,0.486398,0.56626
07-10-02,0.536331,0.535127,0.524218
07-10-03,1,0.401659,0.401659
07-11-01,0.637944,0.439574,0.462873
